RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
2,2,29,2,4,19,5,0,19,73.6,2,1,15,14,24.2,65.3,67,C,1
2,3,28,1,3,16,5,0,16,29.5,3,1,16,12,73.6,25,29,DK,1
2,2,36,2,3,16,1,7,22,73.9,4,4,18,18,82.5,50.4,53,C,1
1,2,34,1,2,14,5,2,22,65.1,1,1,12,12,24.6,46.5,59,T,2
2,3,30,2,3,17,5,4,26,80.9,3,1,16,12,38.3,25,61,C,2
1,2,28,2,1,12,5,7,22,23.3,3,3,16,16,84.5,77.4,25,C,2
2,2,65,1,3,16,1,8,20,38.1,1,0,12,9,39.7,26.8,39,C,1
1,2,38,2,2,14,1,7,19,25.7,1,1,12,15,38.8,83.8,38,T,2
2,3,50,1,1,14,3,3,19,49.4,1,0,12,6,34.7,20.7,40,C,1
2,3,86,1,1,13,1,5,9,52.5,0,1,13,15,24.2,50.4,44,C,1
2,3,54,1,1,15,1,8,21,27,4,1,20,12,71.8,13.6,38,C,1
2,3,71,2,3,15,1,7,20,59.1,3,1,16,12,80.9,20.7,38,C,1
1,3,52,2,1,12,5,2,11,39.7,3,1,16,12,76.7,62,31,C,1
1,3,45,1,4,18,1,2,26,81.6,2,4,14,18,36.5,82.5,63,DK,2
1,3,47,2,4,18,1,1,26,68.6,0,0,12,12,52,52,53,C,1
2,3,48,2,3,16,3,4,25,68.6,4,3,18,16,75.5,80.9,50,C,1
2,2,48,1,1,13,3,0,25,32,2,2,14,14,61.4,80.7,35,DK,1
2,2,59,1,1,12,3,0,19,25.7,1,1,16,12,26.8,28.4,32,C,1
2,2,40,2,1,13,5,5,11,49.2,2,0,14,7,71.6,32,52,DK,1
1,3,73,2,4,18,1,2,20,84.2,1,1,12,12,39.7,75.6,64,C,1
1,2,43,1,1,14,1,4,21,58.4,1,3,12,16,52,31.2,45,C,1
1,2,65,2,3,16,2,3,11,19.6,0,1,11,12,13.3,35.2,31,C,1
2,2,37,2,1,13,5,2,20,37.6,1,1,12,12,33.4,26.8,31,C,1
1,3,68,2,1,12,1,7,22,41.8,0,0,8,8,39.7,23.3,40,C,2
1,3,47,1,1,15,3,0,23,65.2,1,1,12,12,13.6,45.4,60,C,1
1,2,27,1,1,18,5,0,16,77.7,1,4,12,20,92,92,59,DK,1
1,2,54,1,3,20,1,7,23,50,2,1,14,12,56.9,23.3,47,C,1
1,4,64,1,3,16,1,7,26,59.1,1,1,12,14,39.7,48.4,53,T,2
1,3,36,2,3,16,1,0,24,79.3,3,1,18,12,89.4,85.2,63,C,1
1,3,42,2,3,16,3,0,21,59.1,1,1,12,12,24.6,46,38,C,1
1,3,58,1,3,19,3,0,23,63.7,1,1,12,9,38.8,20.5,51,DK,1
1,2,51,2,2,14,1,1,22,77,1,2,14,14,19.6,34.7,57,C,1
1,2,28,1,0,8,5,0,25,32,1,1,12,12,24.2,32,35,T,1
1,2,40,2,1,12,5,5,11,45.1,1,0,12,10,77.2,27.2,40,DK,2
1,2,52,2,2,17,3,4,12,24.6,0,0,8,8,26.1,20.7,36,C,1
1,3,55,1,2,14,3,0,20,59.9,2,3,14,16,84.2,83.8,42,C,1
1,3,74,2,3,16,1,0,26,38.8,0,0,11,8,24.2,20.7,47,C,1
2,2,62,1,3,20,1,0,19,50.4,1,1,12,13,34.5,34.8,62,C,1
